,country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
51,United Kingdom,3.3,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.4,3.5,3.3,3.4,3.3,3.0,3.3,3.6,3.3,2.5,2.4,2.3,2.1,2.0,2.0,1.9,1.8,1.8,1.8,1.8,1.7,1.6,1.4,1.4,1.3,1.2,1.1,1.1,1.0,1.0,0.9,0.8,0.8,0.8,0.8,0.8,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,
52,Uzbekistan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.5,0.5,0.4,0.7,0.4,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,WHO European Region,2.3,2.3,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.6,2.6,2.7,2.6,2.6,2.6,2.7,2.7,2.9,3.0,3.1,3.1,3.2,3.2,3.6,3.9,3.9,4.0,4.1,4.2,4.2,4.3,4.3,4.4,4.6,4.6,4.7,4.6,4.5,4.5,,,,,,,,,,
54,Members of the European Union,3.6,3.7,3.7,3.7,3.8,3.6,3.6,3.7,3.7,3.7,3.7,3.9,4.0,4.0,4.0,4.2,4.2,4.3,4.4,4.3,4.1,4.1,4.2,4.1,4.1,4.1,4.3,4.3,4.4,4.6,4.6,4.7,4.8,4.8,5.2,5.4,5.6,5.6,5.8,6.0,6.0,6.1,6.1,6.3,6.6,6.6,6.7,6.4,6.3,6.4,,,,,,,,,,
55,Members of the EU before May 2004 (EU15),4.0,4.1,4.2,4.2,4.2,4.0,4.0,4.1,4.1,4.1,4.1,4.3,4.4,4.5,4.5,4.6,4.6,4.7,4.9,4.8,4.5,4.5,4.6,4.5,4.6,4.7,4.8,4.8,5.0,5.3,5.3,5.3,5.5,5.5,5.9,6.2,6.5,6.5,6.6,6.9,6.8,7.0,7.0,7.3,7.7,7.6,7.7,7.4,7.4,7.4,,,,,,,,,,
56,Members of the EU after May 2004 (EU13),2.1,2.1,2.1,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.3,2.3,2.1,2.7,2.6,2.8,2.7,2.6,2.7,2.8,3.0,2.6,2.4,2.3,2.6,2.4,2.5,2.5,2.2,2.5,2.6,2.6,2.7,2.9,2.7,2.9,3.0,3.1,3.2,3.2,3.0,3.0,3.0,3.1,3.1,2.9,2.9,2.9,,,,,,,,,,
57,Commonwealth of Independent States,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Central Asian Republics Information Network members (CARINFONET),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,South-eastern Europe Health Network members (SEEHN),2.1,2.1,2.0,1.8,1.8,2.0,2.0,2.1,2.0,2.1,2.3,2.4,2.2,1.9,1.9,2.3,2.0,2.2,2.3,2.1,2.3,2.2,2.8,2.6,2.7,2.7,2.9,2.6,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Nordic countries,2.9,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.2,3.2,3.0,3.0,2.9,2.7,2.7,2.6,2.6,2.6,2.5,2.4,2.3,2.2,2.2,2.0,2.0,1.9,1.8,1.8,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.2,1.1,1.1,1.1,1.1,1.0,1.0,0.9,0.8,0.7,,,,,,,,,,
61,Small countries,3.0,3.0,3.1,3.1,3.0,2.9,3.0,3.0,2.9,3.2,3.2,3.2,3.1,3.5,3.2,3.2,3.2,3.0,3.0,2.9,3.0,2.9,2.9,2.9,3.0,2.9,2.9,3.0,2.9,3.0,3.1,3.1,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.2,3.1,3.1,3.1,3.0,3.0,3.1,,,,,,,,,,
